,date,open,low,high,close,volume
0,2020-12-24 16:00:00,131.97,131.97,131.97,131.97,54213606
1,2020-12-24 15:00:00,131.97,131.97,131.97,131.97,54213606
2,2020-12-24 14:00:00,132.0059,131.97,132.0059,131.97,54213606
3,2020-12-24 13:00:00,131.945,131.72,132.0059,132.0059,52664193
4,2020-12-24 12:00:00,132.3005,131.66,132.34,131.81,42367856
5,2020-12-24 11:00:00,132.84,132.61,133.4521,132.61,32052149
6,2020-12-24 10:00:00,130.96,130.96,133.17,132.51,15850943
7,2020-12-23 16:00:00,131.6008,130.95,131.862,130.95,75921881
8,2020-12-23 15:00:00,131.84,131.58,131.8893,131.735,63443891
9,2020-12-23 14:00:00,131.975,131.84,132.24,132.0592,57408533
10,2020-12-23 13:00:00,131.85,131.85,131.975,131.975,51158375
11,2020-12-23 12:00:00,131.6112,131.3895,131.68,131.54,43026321
12,2020-12-23 11:00:00,131.85,131.18,131.925,131.47,32901499
13,2020-12-23 10:00:00,131.88,130.87,132.3234,132.23,19413556
14,2020-12-22 16:00:00,131.6859,131.24,131.85,131.83,159341529
15,2020-12-22 15:00:00,132.36,131.9209,132.6093,132.06,143588826
16,2020-12-22 14:00:00,132.25,132.246,133.12,132.7693,132058947
17,2020-12-22 13:00:00,131.485,131.075,132.3,131.955,118621328
18,2020-12-22 12:00:00,130.2999,130.21,131.485,131.485,101933211
19,2020-12-22 11:00:00,132.935,132.358,133.41,132.8495,77228679
20,2020-12-22 10:00:00,128.23,128.23,134.19,134.1799,44963562
21,2020-12-21 16:00:00,126.705,126.705,128.22,128.22,100051202
22,2020-12-21 15:00:00,126.615,126.615,127.0316,126.7299,77755345
23,2020-12-21 14:00:00,125.88,125.8601,127.2508,126.7447,69202855
24,2020-12-21 13:00:00,124.965,124.965,126.015,125.97,58447980
25,2020-12-21 12:00:00,125.06,124.88,125.15,124.965,50027110
26,2020-12-21 11:00:00,123.95,123.455,124.3,123.82,38651783
27,2020-12-21 10:00:00,126.655,124.79,126.655,125.88,17735262
28,2020-12-18 16:00:00,126.65,126.13,126.94,126.94,108736763
29,2020-12-18 15:00:00,126.6853,126.4438,126.739,126.65,84425091
30,2020-12-18 14:00:00,126.7415,126.7415,127.0092,126.805,70718560
31,2020-12-18 13:00:00,127.67,127.58,127.8469,127.68,59053204
32,2020-12-18 12:00:00,127.52,127.239,127.79,127.385,51614023
33,2020-12-18 11:00:00,127.63,127.123,127.91,127.73,41628384
34,2020-12-18 10:00:00,127.48,127.475,127.86,127.63,28817911
35,2020-12-17 16:00:00,128.465,128.275,128.82,128.68,76351835
36,2020-12-17 15:00:00,128.5108,128.465,128.5108,128.465,65302035
37,2020-12-17 14:00:00,128.48,128.415,128.65,128.42,57162840
38,2020-12-17 13:00:00,128.3508,128.16,128.52,128.48,50953515
39,2020-12-17 12:00:00,128.775,128.05,128.84,128.3758,42532712
40,2020-12-17 11:00:00,128.555,128.233,129.19,128.765,32781307
41,2020-12-17 10:00:00,127.81,127.81,129.51,128.95,18106491
42,2020-12-16 16:00:00,127.8,127.7362,128.36,127.75,84324677
43,2020-12-16 15:00:00,127.6708,127.3,128.2038,128.0993,67471068
44,2020-12-16 14:00:00,127.6808,127.665,127.6808,127.6708,57089155
45,2020-12-16 13:00:00,127.625,127.43,127.795,127.7662,50121511
46,2020-12-16 12:00:00,127.0358,127.005,127.82,127.7708,41957260
47,2020-12-16 11:00:00,127.31,126.8362,127.42,126.9687,31489674
48,2020-12-16 10:00:00,127.88,126.594,127.88,127.33,16885815
49,2020-12-15 16:00:00,127.542,127.265,127.85,127.84,140081118
50,2020-12-15 15:00:00,126.64,126.585,127.5,127.24,119688540
51,2020-12-15 14:00:00,126.5861,126.35,126.978,126.73,102731548
52,2020-12-15 13:00:00,126.6308,126.5201,126.78,126.5861,88365991
53,2020-12-15 12:00:00,125.97,125.605,126.235,125.851,70518899
54,2020-12-15 11:00:00,125.9,125.32,126.1,125.95,54142732
55,2020-12-15 10:00:00,121.78,121.78,126.935,126.3806,33420225
56,2020-12-14 16:00:00,122.4,121.76,122.45,121.78,64285068
57,2020-12-14 15:00:00,122.41,121.8816,122.53,122.252,52986346
58,2020-12-14 14:00:00,122.375,122.13,122.62,122.4059,44945420
59,2020-12-14 13:00:00,122.6759,122.31,122.69,122.375,38440649
60,2020-12-14 12:00:00,122.83,122.69,122.975,122.925,29822286
61,2020-12-14 11:00:00,122.99,122.4901,123.08,122.8513,22088725
62,2020-12-14 10:00:00,122.41,122.41,123.33,122.89,10857006
63,2020-12-11 16:00:00,122.1834,122.16,122.3692,122.31,73833188
64,2020-12-11 15:00:00,122.11,121.835,122.15,121.97,61194446
65,2020-12-11 14:00:00,121.3699,121.35,121.8148,121.705,52188924
66,2020-12-11 13:00:00,120.985,120.56,121.44,121.415,44181819
67,2020-12-11 12:00:00,121.51,120.8084,121.6789,120.95,35920522
68,2020-12-11 11:00:00,121.47,121.17,121.9901,121.2903,26769169
69,2020-12-11 10:00:00,121.21,121.1,121.51,121.47,15476537
70,2020-12-10 16:00:00,122.805,122.7525,123.57,123.35,69964695
71,2020-12-10 15:00:00,122.82,122.775,122.87,122.805,58290164
72,2020-12-10 14:00:00,123.24,123.1708,123.555,123.475,51738022
73,2020-12-10 13:00:00,123.215,122.7197,123.4,122.805,45573657
74,2020-12-10 12:00:00,123.3001,123.17,123.8608,123.3361,37882218
75,2020-12-10 11:00:00,122.385,122.107,123.54,123.45,28306552
76,2020-12-10 10:00:00,122.2615,122.245,122.46,122.385,14532442
77,2020-12-09 16:00:00,121.94,121.0824,122.18,121.86,97842687
78,2020-12-09 15:00:00,121.7,121.115,122.24,121.6593,80302546
79,2020-12-09 14:00:00,122.15,121.686,122.18,121.7,67848223
80,2020-12-09 13:00:00,123.7617,122.905,123.7999,123.6099,52959147
81,2020-12-09 12:00:00,125.08,124.6759,125.27,124.9,40920354
82,2020-12-09 11:00:00,124.779,124.6241,125.4542,125.38,32446533
83,2020-12-09 10:00:00,124.38,123.91,125.9099,125.9099,17980687
84,2020-12-08 16:00:00,124.875,124.335,124.875,124.4242,70371481
85,2020-12-08 15:00:00,124.5493,124.5,124.95,124.9298,59611372
86,2020-12-08 14:00:00,124.51,124.4869,124.8498,124.76,51014871
87,2020-12-08 13:00:00,123.865,123.865,124.4,124.2708,41510633
88,2020-12-08 12:00:00,123.81,123.81,123.885,123.865,34287999
89,2020-12-08 11:00:00,123.2901,123.2258,123.445,123.32,26892062
90,2020-12-08 10:00:00,123.74,123.495,124.14,123.8417,14246427
91,2020-12-07 16:00:00,123.995,123.33,123.995,123.79,72193470
92,2020-12-07 15:00:00,124.1453,123.975,124.1453,123.995,61965098
93,2020-12-07 14:00:00,123.6575,123.46,123.9416,123.89,55414021
94,2020-12-07 13:00:00,124.15,124.075,124.25,124.0841,47500540
95,2020-12-07 12:00:00,124.275,123.98,124.3502,124.095,40507848
96,2020-12-07 11:00:00,123.97,123.725,124.29,124.0215,32244143
97,2020-12-07 10:00:00,122.25,122.25,124.5,124.49,17756614
98,2020-12-04 16:00:00,122.185,122.15,122.295,122.15,64653350
99,2020-12-04 15:00:00,121.965,121.96,122.17,122.06,53485555
100,2020-12-04 14:00:00,122.045,121.82,122.06,121.835,46920173
101,2020-12-04 13:00:00,121.94,121.85,122.175,122.175,42097666
102,2020-12-04 12:00:00,121.961,121.8607,122.65,122.37,35147195
103,2020-12-04 11:00:00,121.995,121.54,122.17,121.7643,24499983
104,2020-12-04 10:00:00,122.94,121.56,122.94,122.005,12936146
105,2020-12-03 16:00:00,123.175,122.56,123.3208,122.72,67118923
106,2020-12-03 15:00:00,122.8,122.76,123.045,123.005,54175821
107,2020-12-03 14:00:00,122.95,122.613,123.01,122.665,47864959
108,2020-12-03 13:00:00,123.105,122.7885,123.19,122.8888,42380097
109,2020-12-03 12:00:00,122.945,122.93,123.18,123.105,35775233
110,2020-12-03 11:00:00,123.07,122.63,123.07,122.6588,26493193
111,2020-12-03 10:00:00,123.659,122.75,123.659,123.17,12961481
112,2020-12-02 16:00:00,123.105,123.04,123.17,123.04,75763670
113,2020-12-02 15:00:00,122.83,122.81,122.97,122.9301,64102182
114,2020-12-02 14:00:00,123.035,122.7156,123.19,122.9539,56597936
115,2020-12-02 13:00:00,122.745,122.62,123.13,122.8996,48331884
116,2020-12-02 12:00:00,121.985,121.975,122.81,122.55,39345957
117,2020-12-02 11:00:00,122.045,121.5601,122.4994,121.97,30447493
118,2020-12-02 10:00:00,122.72,120.97,122.72,121.99,17566422
119,2020-12-01 16:00:00,122.505,122.13,122.915,122.65,114910468
120,2020-12-01 15:00:00,122.745,122.64,123.2,122.705,97750554
121,2020-12-01 14:00:00,122.635,122.6201,123.275,122.7682,87978963
122,2020-12-01 13:00:00,122.915,122.635,122.9701,122.635,79184624
123,2020-12-01 12:00:00,122.88,122.8756,123.2108,123.1,66781682
124,2020-12-01 11:00:00,122.15,121.6781,122.51,122.39,48995123
125,2020-12-01 10:00:00,119.05,119.05,122.57,122.4,24758368
126,2020-11-30 16:00:00,120.42,119.22,120.6,119.51,129647292
127,2020-11-30 15:00:00,120.2,120.18,120.81,120.59,101718557
128,2020-11-30 14:00:00,118.96,118.9508,119.75,119.745,80614500
129,2020-11-30 13:00:00,118.79,118.69,119.1,119.06,68620001
130,2020-11-30 12:00:00,118.165,117.52,119.0,118.91,58924799
131,2020-11-30 11:00:00,118.05,118.05,118.165,118.165,44780578
132,2020-11-30 10:00:00,118.955,118.81,119.2,118.841,21715322
133,2020-11-27 16:00:00,116.59,116.59,116.59,116.59,45263139
134,2020-11-27 15:00:00,116.59,116.59,116.59,116.59,45263139
135,2020-11-27 14:00:00,116.59,116.59,116.59,116.59,45263139
136,2020-11-27 13:00:00,116.72,116.225,116.735,116.5793,42997990
137,2020-11-27 12:00:00,117.022,116.6799,117.1607,116.85,32856405
138,2020-11-27 11:00:00,116.99,116.695,117.475,117.07,24225137
139,2020-11-27 10:00:00,117.05,116.84,117.08,116.99,11640048
140,2020-11-25 16:00:00,116.2073,115.97,116.45,116.005,68322278
141,2020-11-25 15:00:00,115.76,115.74,116.13,116.09,57462176
142,2020-11-25 14:00:00,116.25,115.888,116.3256,116.005,51363049
143,2020-11-25 13:00:00,116.015,115.7101,116.325,116.2,46086010
144,2020-11-25 12:00:00,116.0008,115.91,116.1038,116.015,39653709
145,2020-11-25 11:00:00,116.15,116.1143,116.51,116.49,29488927
146,2020-11-25 10:00:00,115.72,115.22,116.575,116.32,16446943
147,2020-11-24 16:00:00,115.2,114.98,115.2,115.14,103550629
148,2020-11-24 15:00:00,115.105,115.0199,115.36,115.36,89210319
149,2020-11-24 14:00:00,115.1508,115.1319,115.66,115.66,78657000
150,2020-11-24 13:00:00,114.56,114.5204,114.99,114.86,67981523
151,2020-11-24 12:00:00,114.685,114.6801,115.3599,114.8199,58689767
152,2020-11-24 11:00:00,113.4501,113.36,114.835,114.835,42886364
153,2020-11-24 10:00:00,113.85,112.63,114.01,113.065,22807151
154,2020-11-23 16:00:00,114.064,113.76,114.165,113.83,117390920
155,2020-11-23 15:00:00,114.6,114.02,114.66,114.17,95783299
156,2020-11-23 14:00:00,115.17,114.6,115.265,114.66,80957065
157,2020-11-23 13:00:00,114.55,114.28,115.32,115.295,71393273
158,2020-11-23 12:00:00,114.5613,114.535,114.7289,114.55,59369524
159,2020-11-23 11:00:00,115.44,115.31,115.6999,115.51,36934360
160,2020-11-23 10:00:00,117.16,116.775,117.6,116.895,15489324
161,2020-11-20 16:00:00,117.635,117.3298,117.85,117.3298,63726731
162,2020-11-20 15:00:00,117.96,117.72,118.085,117.8716,50049397
163,2020-11-20 14:00:00,118.2,117.9093,118.2,117.97,43705747
164,2020-11-20 13:00:00,117.965,117.905,118.295,118.295,38241781
165,2020-11-20 12:00:00,117.98,117.9309,118.025,117.965,31788928
166,2020-11-20 11:00:00,118.5,118.45,118.63,118.49,21737120
167,2020-11-20 10:00:00,118.21,117.87,118.31,118.11,12847198
168,2020-11-19 16:00:00,118.71,118.71,118.75,118.75,66921830
169,2020-11-19 15:00:00,118.42,118.36,118.6801,118.64,56148813
170,2020-11-19 14:00:00,117.92,117.9,118.1384,118.115,48929649
171,2020-11-19 13:00:00,117.815,117.59,117.97,117.7108,42637315
172,2020-11-19 12:00:00,117.974,117.95,118.36,118.1502,34413727
173,2020-11-19 11:00:00,117.695,117.5303,118.2858,117.8184,26666996
174,2020-11-19 10:00:00,118.03,116.87,118.0998,117.935,15736235
175,2020-11-18 16:00:00,119.419,118.15,119.4256,118.15,65730659
176,2020-11-18 15:00:00,118.99,118.81,119.32,119.32,51857595
177,2020-11-18 14:00:00,119.62,119.1399,119.62,119.29,44898431
178,2020-11-18 13:00:00,119.71,119.47,119.79,119.5293,38853301
179,2020-11-18 12:00:00,119.465,119.0801,119.56,119.47,32453898
180,2020-11-18 11:00:00,119.315,119.285,119.4832,119.465,25410521
181,2020-11-18 10:00:00,119.08,118.5801,119.33,118.65,14398283
182,2020-11-17 16:00:00,120.0057,119.37,120.1301,119.37,65770374
183,2020-11-17 15:00:00,119.983,119.983,120.0057,120.0057,53376694
184,2020-11-17 14:00:00,120.355,120.31,120.437,120.35,46747523
185,2020-11-17 13:00:00,120.36,120.28,120.485,120.47,40861731
186,2020-11-17 12:00:00,119.91,119.6808,120.155,120.155,34329302
187,2020-11-17 11:00:00,119.6,119.6,120.5,120.4,25028891
188,2020-11-17 10:00:00,120.3,119.005,120.3,119.1115,12936401
189,2020-11-16 16:00:00,119.9889,119.74,120.17,120.13,81166957
190,2020-11-16 15:00:00,120.3001,119.81,120.335,119.8999,67803883
191,2020-11-16 14:00:00,120.485,120.0103,120.5793,120.205,60324420
192,2020-11-16 13:00:00,120.8431,120.28,120.8731,120.41,52259960
193,2020-11-16 12:00:00,120.65,120.315,120.82,120.7398,43851334
194,2020-11-16 11:00:00,120.6523,120.6324,120.6523,120.65,34553449
195,2020-11-16 10:00:00,119.86,119.45,119.9908,119.891,17208368
196,2020-11-13 16:00:00,118.9401,118.83,119.5601,119.3493,73886252
197,2020-11-13 15:00:00,118.695,118.205,118.8899,118.885,58545638
198,2020-11-13 14:00:00,118.9466,118.5,119.225,118.57,51025438
199,2020-11-13 13:00:00,118.9493,118.82,118.9493,118.9466,43274698
